LakeID,Y_Coordinate,X_Coordinate
0904BLU0335,44.3921,-74.8717
0902BLU0126A,44.3639,-74.4827
1404BLU0381,42.0163,-75.4755
0903BLU0197,44.1912,-74.2243
1501BLY1016K,41.2913,-74.1680
1202BOB5223,42.5611,-74.1977
1203BOC0844,43.3614,-74.7547
1401BOD0185,41.5221,-74.9262
1402BOE0004A,41.4323,-74.6849
1302BOG0086,41.4147,-73.5850
0903BOG0175,44.0459,-74.7732
1301BOG0200,41.3874,-74.0130
0902BOG0270,44.4007,-74.2826
0301BON0190B,43.1816,-78.9167
1003BON0193,44.3611,-74.3045
1301BON0438,42.7214,-73.4994
0905BON0090,44.2565,-75.3009
0103BON5102,42.8892,-78.5569
1305BON1126,41.8466,-73.6495
0801BOO5482,43.5207,-75.2315
1201BOO0900,43.4616,-75.3415
0904BOO0374,44.2422,-74.6568
0602BOR5409,42.3573,-75.6825
1104BOR0564,44.0095,-73.9333
0603BOS0021,42.1071,-76.0745
1003BOS0127,44.3009,-74.3891
1701BOS0732,41.1079,-72.1193
1104BOT0300,43.6842,-74.0936
0903BOT0131,43.9612,-74.6029
1204BOT1049,42.9047,-75.5117
1104BOU0692C,43.9802,-74.2167
0601BOU0268,42.3013,-75.0594
1402BOW0052,41.6344,-74.5762
1201BOW0589C,42.7822,-74.6249
0602BOW5660,42.5187,-75.6886
0902BOY0085A,44.5873,-74.2854
1302BOY0076,41.4590,-73.7501
0904BOY0329,44.3924,-75.0952
1401BOY0176A,41.5193,-74.8580
1203BOY0829,43.2910,-74.7443
0601BRA0179,42.3525,-75.5592
0301BRA0155A,43.3123,-77.7156
0602BRA0154,42.8340,-75.6622
1101BRA0455,42.7476,-73.6661
1104BRA0717,44.0963,-74.1106
0902BRA0007,44.7536,-73.8878
1104BRA0652,43.8267,-74.4606
1702BRA1039,40.6045,-74.0802
1601BRA1112,41.6015,-73.5315
0903BRA0277,43.9179,-74.7043
0801BRA0923,43.5662,-75.1546
1003BRA0115,44.2858,-74.3597
0602BRA5888,42.1270,-75.8818
1104BRA0347,43.7161,-73.7026
0801BRA0689,43.6937,-75.2784
1306BRA0473A,41.6013,-74.4035
0902BRE0268,44.3913,-74.2817
1301BRE0150D,41.2072,-74.0957
1301BRE0220A,41.4298,-74.0201
0801BRE0967,43.5922,-75.0863
1302BRE0099,41.4362,-73.5988
1702BRI1103,41.2662,-71.9920
0903BRI0178,44.1632,-74.5832
0905BRI0187,43.9967,-75.0512
1104BRI0350,43.7192,-73.6493
1401BRI0241,41.7645,-74.8736
1301BRO0165F,41.3194,-73.9639
0102BRO5776,43.0418,-78.7269
0105BRO0160K,42.3681,-79.4261
1301BRO0155,42.3480,-73.8705
1702BRO1072,40.6244,-74.1203
1301BRO0193A,41.3303,-73.9947
1301BRO0338B,41.5076,-74.0520
0801BRO0874,43.6041,-74.6634
0904BRO0348,44.2852,-74.8378
0904BRO0349,44.2891,-74.8349
0904BRO0350,44.2929,-74.8276
1104BRO0473,44.0228,-73.6342
1104BRO0268,43.2421,-74.4908
1104BRO0668,43.7452,-74.4220
1104BRO0539,43.7452,-74.1157
1006BRO5301,43.6579,-73.5773
1701BRO0565,40.9025,-72.7499
0905BRO5140,44.2091,-75.0322
1301BRO0426,41.8676,-73.8654
1302BRO0065,41.5066,-73.6664
1005BRO0462,43.4996,-73.3113
0303BRO0014,43.5063,-75.9872
