LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
1006.2,Lake Ontario-Wilson Tuscarora,Niagara,Wilson,0301UWB0177B,43.3627,-78.4625,,,,,,
205,Lake Oscaleta,Westchester,South Salem,1302OSC0118,41.2965,-73.5614,,,,,,
87,Lake Oscawana,Putnam,Putnam Valley,1301OSC0175,41.396,-73.8488,,,,,,
116,Lake Ossi,Putnam,Carmel,1301OSS0183D,41.4159,-73.7605,,,,,,
73,Lake Peekskill,Putnam,Putnam Valley,1301PEE0171,41.3395,-73.8828,,,,,,
88,Lake Placid,Essex,North Elba,1004PLA0254,44.3252,-73.9592,,,,,,
240,Lake Pleasant,Hamilton,Lake Pleasant,1104PLE0313,43.4872,-74.3638,,,,,,
204,Lake Rippowam,Westchester,South Salem,1302RIP0119,41.3001,-73.5628,,,,,,
133,Lake Salubria,Steuben,Bath,0502SAL0051,42.3293,-77.2929,,,,,,
166,Lake Sunnyside,Warren,Queensbury,1005SUN0440,43.3753,-73.6397,,,,,,
,Lake Superior,Sullivan,Bethel,1401SUP0104,41.6656,-74.8766,,,,,,
1005,Lake Taghanic,Columbia,Gallatin,1308TAG0869,42.0912,-73.7095,,,,,,
,Lake Temalo,Oswego,Schroeppel,0703TEM0017,43.284,-76.2595,,,,,,
93,Lake Tibet,Putnam,Kent,1301TIB0183E,41.4512,-73.7782,,,,,,
161,Lake Titus,Franklin,Malone,0902TIT0028,44.7248,-74.2822,,,,,,
,Lake Treman,Tompkins,Ithaca,0705TRE0347A,42.3986,-76.5113,,,,,,
4,Lake Waccabuc,Westchester,South Salem,1302WAC0117,41.2977,-73.5841,,,,,,
94,Lake Wanaksink,Sullivan,Thompson,1402WAN0053,41.6198,-74.5647,,,,,,
,Lake Washington,Orange,New Windsor,1303WAS0225,41.4919,-74.0692,,,,,,
48,Lamoka Lake,Schulyer,Tyrone,0502LAM0047,42.4058,-77.0778,,,,,,
233,Laurel Lake,Broome,Sanford,1404LAU0382,42.0104,-75.4803,,,,,,
,Lawson Lake,Albany,Feura Bush,1301LAW0207,42.5391,-73.9599,,,,,,
38,Lebanon Reservoir,Madison,Lebanon,0602LEB0153,42.8029,-75.6069,,,,,,
97,Leland Pond,Madison,Eaton,0602LLE1052,42.8727,-75.5733,,,,,,
219,Lily Pond,Suffolk,Southhampton,1701LIL0779,40.9383,-72.2129,,,,,,
134,Lime Lake,Cattaraugus,Machias,0104LIM0130,42.4274,-78.4792,,,,,,
,Limekiln Lake,Hamilton,Inlet,0801LIM0826,43.7126,-74.7995,,,,,,
135,Lincoln Pond,Essex,Elizabethtown,1004LIN0315,44.1299,-73.5805,,,,,,
,Linlyco Pond,Cattaraugus,New Albion,0201LIN0097A,42.2731,-78.8305,,,,,,
58,Little Fresh Pond,Suffolk,Southhampton,1701LFR0662,40.9182,-72.4085,,,,,,
210,Little Long Pond,Suffolk,Southampton,1701LLO0708,40.9776,-72.2962,,,,,,
43,Little Sodus Bay,Cayuga,Fair Haven,0302LSO0076,43.3305,-76.7092,,,,,,
221,Little We Wah Lake,Orange,Tuxedo,1501UWB1006,41.2117,-74.1994,,,,,,
148,Little Wolf Lake,Franklin,Tupper Lake,0903LWO0095,44.2534,-74.4792,,,,,,
,Long Lake,Oneida,Forestburg,0801LON0922,43.5527,-75.1559,,,,,,
,Long Pond,Chenango,Smithville,0602LON0083,42.4202,-75.8481,,,,,,
249,Long Pond,Columbia,Ancram,1308LONXXX1,42.0691,-73.5912,,,,,,
,Long Pond,Monroe,Rochester,0301LON0154,43.2929,-77.6858,,,,,,
1001,Long Pond,Rensselaer,Grafton,1301LON0428,42.7921,-73.4387,,,,,,
209,Long Pond,Suffolk,Southampton,1701LON0800,40.9352,-72.3228,,,,,,
136,Loon Lake,Steuben,Wayland,0404LOO0079,42.4926,-77.5669,,,,,,
10,Loon Lake,Warren,Chestertown,1104LOO0367,43.6671,-73.8479,,,,,,
72,Lorton Lake,Oswego,Albion,0303LOR0009,43.5037,-75.8908,,,,,,
,Lowe Pond,Chemung,Big Flats,0501LOW0021,42.146,-76.9118,,,,,,
,Lower Browns Tract Pond,Hamilton,"Inlet, Long Lake",0903LBR0316,43.8095,-74.6989,,,,,,
63,Lower Cassadaga Lake,Chautauqua,Pomfret,0202LCA0133,42.3455,-79.3173,,,,,,
79,Lower Chateaugay Lake,Franklin,Chateaugay,0902LCH0006,44.819,-74.0186,,,,,,
250,Lower Rhoda Lake,Columbia,"Ancram, Copake",1308LRH0888,42.0794,-73.5941,,,,,,
172,Lower St. Regis Lake,Franklin,Harrietstown,0902LSA0257A,44.4294,-74.2559,,,,,,
47,Madison Lake,Madison,Madison,1204MAD1051,42.9016,-75.5241,,,,,,
163,Mariaville Lake,Schenectady,Duanesburg,1201MAR0570,42.8337,-74.1119,,,,,,
173,Mayfield Lake,Fulton,Mayfield,1104MAYXXX1,43.0961,-74.2645,,,,,,
,Mayham Pond,,,,,,,,,,,
,McCarthy Hill Forest Pond,Steuben,Tuscarora,0503UWB5183,42.0875,-77.2091,,,,,,
